Plant,Source,Parameter,Units,date,Value,Description,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,Emissions_Load
Lake,LAKE-4,COTONS,TONS,1/6/2022,0.008386515,CO in TONS,9.9,0.6,18.9,0.0,0.0,104,6.5,1013.8,0.00017202758185192932
Lake,LAKE-4,COTONS,TONS,1/7/2022,0.009773036,CO in TONS,9.9,-0.5,21.1,0.0,0.0,261,9.7,1011.9,0.00019935350998407546
Lake,LAKE-4,COTONS,TONS,1/8/2022,0.000259403,CO in TONS,14.9,10.0,20.6,0.0,0.0,253,18.7,1011.4,2.4873223299071393e-05
Lake,LAKE-4,COTONS,TONS,1/9/2022,0.01221622,CO in TONS,11.7,5.0,11.7,0.0,0.0,40,11.9,1024.8,0.00021004106292446805
Lake,LAKE-4,COTONS,TONS,1/10/2022,0.026727721,CO in TONS,6.5,4.4,8.3,0.0,0.0,21,14.8,1032.3,0.00042591957927691374
Lake,LAKE-4,COTONS,TONS,1/11/2022,0.015513797,CO in TONS,6.3,1.7,12.8,0.0,0.0,11,6.5,1027.5,0.00025911049507396295
Lake,LAKE-4,COTONS,TONS,1/12/2022,0.021665525,CO in TONS,6.3,-1.6,17.2,0.0,0.0,28,4.7,1025.4,0.00038987804163750917
Lake,LAKE-4,COTONS,TONS,1/13/2022,0.014397434,CO in TONS,6.7,-3.2,17.8,0.0,0.0,11,5.4,1022.7,0.00031836268188123495
Lake,LAKE-4,COTONS,TONS,1/14/2022,0.018937294,CO in TONS,10.1,0.0,21.7,0.0,0.0,320,13.3,1014.3,0.00034272120096134423
Lake,LAKE-4,COTONS,TONS,1/15/2022,0.033229272,CO in TONS,9.9,1.7,11.1,0.0,0.0,81,8.6,1024.9,0.00046039185231031135
Lake,LAKE-4,COTONS,TONS,1/16/2022,0.034261431,CO in TONS,4.7,-3.2,13.9,0.0,0.0,2,3.6,1021.2,0.0004857523502849386
Lake,LAKE-4,COTONS,TONS,1/17/2022,0.048393,CO in TONS,6.2,-2.7,18.3,0.0,0.0,310,9.4,1017.2,0.000573729166463644
Lake,LAKE-4,COTONS,TONS,1/18/2022,0.04055215,CO in TONS,13.6,6.7,19.4,0.3,0.0,272,15.8,1012.4,0.0005707564532996905
Lake,LAKE-4,COTONS,TONS,1/19/2022,0.024867516,CO in TONS,11.8,6.1,16.7,0.0,0.0,251,13.3,1014.5,0.00038718985779145285
Lake,LAKE-4,COTONS,TONS,1/20/2022,0.0474487,CO in TONS,6.8,-1.0,9.4,0.0,0.0,76,9.7,1023.1,0.0006341006630153897
Lake,LAKE-4,COTONS,TONS,1/21/2022,0.033139088,CO in TONS,2.7,-3.2,11.7,0.0,0.0,138,5.4,1019.9,0.00045927767221699237
Lake,LAKE-4,COTONS,TONS,1/22/2022,0.022539704,CO in TONS,6.3,0.6,12.2,0.0,0.0,46,18.4,1019.1,0.00038252024423463107
Lake,LAKE-4,COTONS,TONS,1/23/2022,0.012507728,CO in TONS,4.4,-2.7,12.2,0.0,0.0,37,7.6,1018.9,0.00020907936212856927
Lake,LAKE-4,COTONS,TONS,1/24/2022,0.030900307,CO in TONS,6.1,-1.0,15.6,0.0,0.0,357,7.6,1012.5,0.0005438056438988036
Lake,LAKE-4,COTONS,TONS,1/25/2022,0.0439654,CO in TONS,10.0,2.8,17.8,0.0,0.0,208,13.7,1011.7,0.0005983001811394508
Lake,LAKE-4,COTONS,TONS,1/26/2022,0.029447885,CO in TONS,9.2,1.1,14.4,0.0,0.0,189,10.1,1016.4,0.00039964795247867416
Lake,LAKE-4,COTONS,TONS,1/27/2022,0.038635777,CO in TONS,7.6,-0.5,16.7,0.0,0.0,20,13.0,1019.0,0.000489256746146325
Lake,LAKE-4,COTONS,TONS,1/28/2022,0.0542767,CO in TONS,6.3,-1.0,11.1,0.0,0.0,20,10.1,1030.2,0.0006223140238046599
Lake,LAKE-4,COTONS,TONS,1/29/2022,0.0530465,CO in TONS,4.7,-1.6,14.4,0.0,0.0,13,8.3,1024.6,0.0006409426486646939
Lake,LAKE-4,COTONS,TONS,1/30/2022,0.052031138,CO in TONS,7.6,0.0,17.2,0.0,0.0,10,11.2,1016.2,0.0006337370039039159
Lake,LAKE-4,COTONS,TONS,1/31/2022,0.012117448,CO in TONS,9.1,1.1,18.3,0.0,0.0,240,8.6,1012.8,0.0001608343935189172
Lake,LAKE-4,COTONS,TONS,2/1/2022,0.04010062,CO in TONS,12.7,6.1,17.8,0.0,0.0,211,16.2,1006.8,0.0004954755006782559
Lake,LAKE-4,COTONS,TONS,2/2/2022,0.00211878,CO in TONS,13.0,-1.6,14.4,7.4,30.0,197,17.3,1005.0,6.374132728602089e-05
Lake,LAKE-4,COTONS,TONS,2/3/2022,0.0314563,CO in TONS,-1.7,-6.6,0.6,2.8,50.0,16,12.2,1021.5,0.0004967320170777972
Lake,LAKE-4,COTONS,TONS,2/4/2022,0.03165005,CO in TONS,-3.1,-7.7,3.9,0.0,0.0,17,4.3,1034.3,0.0005142624548038048
Lake,LAKE-4,COTONS,TONS,2/5/2022,0.021747115,CO in TONS,0.0,-5.5,8.3,0.0,0.0,8,5.0,1026.9,0.0003071605290804579
Lake,LAKE-4,COTONS,TONS,2/6/2022,0.01027666,CO in TONS,3.2,-4.3,13.9,0.0,0.0,37,11.5,1021.8,0.00016386740098331957
Lake,LAKE-4,COTONS,TONS,2/7/2022,0.027907467,CO in TONS,6.1,-2.1,11.7,0.0,0.0,15,6.8,1028.4,0.0004377086835471916
Lake,LAKE-4,COTONS,TONS,2/8/2022,0.028273139,CO in TONS,5.5,-3.8,16.1,0.0,0.0,17,5.4,1022.4,0.000380608108673423
Lake,LAKE-4,COTONS,TONS,2/9/2022,0.037808497,CO in TONS,8.3,1.1,18.3,0.0,0.0,28,9.4,1018.1,0.0004848752703900745
Lake,LAKE-4,COTONS,TONS,2/10/2022,0.03701229,CO in TONS,9.1,-1.0,19.4,0.0,0.0,344,9.4,1016.7,0.0005136437238200415
Lake,LAKE-4,COTONS,TONS,2/11/2022,0.03190421,CO in TONS,12.6,3.3,21.7,0.0,0.0,313,7.9,1012.2,0.000505671203827945
Lake,LAKE-4,COTONS,TONS,2/12/2022,0.018600413,CO in TONS,9.9,2.8,11.1,0.0,0.0,71,12.6,1024.5,0.0002479287842448956
Lake,LAKE-4,COTONS,TONS,2/13/2022,0.012710133,CO in TONS,6.2,-2.1,16.7,0.0,0.0,39,5.0,1027.1,0.00021098881153013696
Lake,LAKE-4,COTONS,TONS,2/14/2022,0.039149047,CO in TONS,8.9,-2.7,20.6,0.0,0.0,224,5.4,1019.8,0.0005819981050096661
Lake,LAKE-4,COTONS,TONS,2/15/2022,0.017099238,CO in TONS,12.0,2.8,23.9,0.0,0.0,217,18.4,1010.1,0.00030874186358156527
Lake,LAKE-4,COTONS,TONS,2/16/2022,0.012214365,CO in TONS,15.6,5.0,21.7,0.0,0.0,233,25.6,1005.2,0.00022323577699543017
Lake,LAKE-4,COTONS,TONS,2/17/2022,0.011049837,CO in TONS,8.7,1.7,12.8,0.0,0.0,312,15.8,1016.8,0.00019539105374307507
Lake,LAKE-4,COTONS,TONS,2/22/2022,0.005632477,CO in TONS,13.1,5.0,21.7,0.0,0.0,240,19.1,1010.0,0.00015307579282449913
Lake,LAKE-4,COTONS,TONS,2/24/2022,0.015529636,CO in TONS,11.2,0.6,14.4,0.0,0.0,321,18.0,1014.1,0.0002664512684291127
Lake,LAKE-4,COTONS,TONS,2/25/2022,0.028942237,CO in TONS,6.4,-1.0,15.6,0.0,0.0,76,8.3,1018.6,0.0004104477915310539
Lake,LAKE-4,COTONS,TONS,2/26/2022,0.01829082,CO in TONS,8.8,0.0,20.6,0.0,0.0,312,8.3,1018.5,0.00026060919264210867
Lake,LAKE-4,COTONS,TONS,2/27/2022,0.0016611,CO in TONS,10.9,1.7,18.3,0.0,0.0,13,10.8,1024.4,5.824337554394259e-05
Lake,LAKE-4,COTONS,TONS,2/28/2022,0.027367584,CO in TONS,10.3,3.3,20.0,0.0,0.0,16,12.6,1020.6,0.00045481361098440547
