Plant,Source,Parameter,Units,date,Value,Description,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,Emissions_Load
Lake,LAKE-1,NOXTONS,TONS,1/1/2022,0.009912558,NOX in TONS,9.1,1.1,13.3,0.5,0.0,270,40.7,1008.6,0.0003836013386796
Lake,LAKE-1,NOXTONS,TONS,1/2/2022,0.046236116,NOX in TONS,2.2,-4.3,6.7,0.0,0.0,9,7.9,1027.8,0.0008593719862561
Lake,LAKE-1,NOXTONS,TONS,1/3/2022,0.036975513,NOX in TONS,1.3,-4.9,10.0,0.0,0.0,22,6.8,1025.6,0.0010515445499996
Lake,LAKE-1,NOXTONS,TONS,1/4/2022,0.004563511,NOX in TONS,4.7,-3.8,16.7,0.0,0.0,294,16.6,1019.1,0.0001820448144729
Lake,LAKE-1,NOXTONS,TONS,1/5/2022,0.021031467,NOX in TONS,9.7,-1.6,17.2,0.0,0.0,315,7.9,1014.3,0.000337066498279
Lake,LAKE-1,NOXTONS,TONS,1/15/2022,0.000223352,NOX in TONS,9.9,1.7,11.1,0.0,0.0,81,8.6,1024.9,0.0021144089779036
Lake,LAKE-1,NOXTONS,TONS,1/17/2022,0.020314144,NOX in TONS,6.2,-2.7,18.3,0.0,0.0,310,9.4,1017.2,0.0003365119057858
Lake,LAKE-1,NOXTONS,TONS,1/18/2022,0.021763375,NOX in TONS,13.6,6.7,19.4,0.3,0.0,272,15.8,1012.4,0.0003472820832543
Lake,LAKE-1,NOXTONS,TONS,1/19/2022,0.06067023,NOX in TONS,11.8,6.1,16.7,0.0,0.0,251,13.3,1014.5,0.0009078308478613
Lake,LAKE-1,NOXTONS,TONS,1/20/2022,0.022700319,NOX in TONS,6.8,-1.0,9.4,0.0,0.0,76,9.7,1023.1,0.0004116718679799
Lake,LAKE-1,NOXTONS,TONS,1/24/2022,0.027283982,NOX in TONS,6.1,-1.0,15.6,0.0,0.0,357,7.6,1012.5,0.0004054093297954
Lake,LAKE-1,NOXTONS,TONS,1/25/2022,0.051482538,NOX in TONS,10.0,2.8,17.8,0.0,0.0,208,13.7,1011.7,0.0007890349065761
Lake,LAKE-1,NOXTONS,TONS,1/26/2022,0.022869814,NOX in TONS,9.2,1.1,14.4,0.0,0.0,189,10.1,1016.4,0.0003606873842023
Lake,LAKE-1,NOXTONS,TONS,1/27/2022,0.023177879,NOX in TONS,7.6,-0.5,16.7,0.0,0.0,20,13.0,1019.0,0.0003397700505886
Lake,LAKE-1,NOXTONS,TONS,1/29/2022,0.021373691,NOX in TONS,4.7,-1.6,14.4,0.0,0.0,13,8.3,1024.6,0.0003262737628184
Lake,LAKE-1,NOXTONS,TONS,1/30/2022,0.027123633,NOX in TONS,7.6,0.0,17.2,0.0,0.0,10,11.2,1016.2,0.0003985151631296
Lake,LAKE-1,NOXTONS,TONS,1/31/2022,0.094071279,NOX in TONS,9.1,1.1,18.3,0.0,0.0,240,8.6,1012.8,0.0011893265213951
Lake,LAKE-1,NOXTONS,TONS,2/1/2022,0.05794846,NOX in TONS,12.7,6.1,17.8,0.0,0.0,211,16.2,1006.8,0.0007502084320186
Lake,LAKE-1,NOXTONS,TONS,2/2/2022,0.095019045,NOX in TONS,13.0,-1.6,14.4,7.4,30.0,197,17.3,1005.0,0.0011869442370132
Lake,LAKE-1,NOXTONS,TONS,2/3/2022,0.086460579,NOX in TONS,-1.7,-6.6,0.6,2.8,50.0,16,12.2,1021.5,0.0012173967788194
Lake,LAKE-1,NOXTONS,TONS,2/4/2022,0.060297951,NOX in TONS,-3.1,-7.7,3.9,0.0,0.0,17,4.3,1034.3,0.0008963188273131
Lake,LAKE-1,NOXTONS,TONS,2/5/2022,0.088071646,NOX in TONS,0.0,-5.5,8.3,0.0,0.0,8,5.0,1026.9,0.0011943095569462
Lake,LAKE-1,NOXTONS,TONS,2/6/2022,0.071429835,NOX in TONS,3.2,-4.3,13.9,0.0,0.0,37,11.5,1021.8,0.0011365114838703
Lake,LAKE-1,NOXTONS,TONS,2/7/2022,0.072336892,NOX in TONS,6.1,-2.1,11.7,0.0,0.0,15,6.8,1028.4,0.0010551767290269
Lake,LAKE-1,NOXTONS,TONS,2/8/2022,0.073884072,NOX in TONS,5.5,-3.8,16.1,0.0,0.0,17,5.4,1022.4,0.001052682798458
Lake,LAKE-1,NOXTONS,TONS,2/9/2022,0.085434363,NOX in TONS,8.3,1.1,18.3,0.0,0.0,28,9.4,1018.1,0.0012332594232498
Lake,LAKE-1,NOXTONS,TONS,2/10/2022,0.082492035,NOX in TONS,9.1,-1.0,19.4,0.0,0.0,344,9.4,1016.7,0.0012520111317632
Lake,LAKE-1,NOXTONS,TONS,2/11/2022,0.085688656,NOX in TONS,12.6,3.3,21.7,0.0,0.0,313,7.9,1012.2,0.0012414045864162
Lake,LAKE-1,NOXTONS,TONS,2/12/2022,0.091549521,NOX in TONS,9.9,2.8,11.1,0.0,0.0,71,12.6,1024.5,0.0012103827026033
Lake,LAKE-1,NOXTONS,TONS,2/13/2022,0.067752707,NOX in TONS,6.2,-2.1,16.7,0.0,0.0,39,5.0,1027.1,0.0011805797333005
Lake,LAKE-1,NOXTONS,TONS,2/14/2022,0.054462856,NOX in TONS,8.9,-2.7,20.6,0.0,0.0,224,5.4,1019.8,0.0008808210966915
Lake,LAKE-1,NOXTONS,TONS,2/15/2022,0.077573134,NOX in TONS,12.0,2.8,23.9,0.0,0.0,217,18.4,1010.1,0.0011542436512829
Lake,LAKE-1,NOXTONS,TONS,2/16/2022,0.037630053,NOX in TONS,15.6,5.0,21.7,0.0,0.0,233,25.6,1005.2,0.0006286214109313
Lake,LAKE-1,NOXTONS,TONS,2/17/2022,0.048884319,NOX in TONS,8.7,1.7,12.8,0.0,0.0,312,15.8,1016.8,0.0008910802924914
Lake,LAKE-1,NOXTONS,TONS,2/18/2022,0.039919032,NOX in TONS,4.9,-3.8,15.0,0.0,0.0,29,5.8,1022.8,0.0006738462594349
Lake,LAKE-1,NOXTONS,TONS,2/19/2022,0.035448617,NOX in TONS,7.7,-1.6,18.9,0.0,0.0,23,7.2,1021.2,0.0005116069336069
Lake,LAKE-1,NOXTONS,TONS,2/20/2022,0.020958606,NOX in TONS,10.4,0.6,22.8,0.0,0.0,252,12.2,1013.9,0.0003585580238909
Lake,LAKE-1,NOXTONS,TONS,2/21/2022,0.027538747,NOX in TONS,15.4,8.9,21.7,0.0,0.0,231,29.2,1006.8,0.0003733843990527
Lake,LAKE-1,NOXTONS,TONS,2/22/2022,0.033480484,NOX in TONS,13.1,5.0,21.7,0.0,0.0,240,19.1,1010.0,0.0007419966077424
Lake,LAKE-1,NOXTONS,TONS,2/23/2022,0.034290314,NOX in TONS,11.9,3.9,20.0,0.0,0.0,159,21.6,1009.5,0.000617267598506
