Plant,Source,Parameter,Units,date,Value,Description,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,Emissions_Load
Lake,LAKE-2,NOXTONS,TONS,1/10/2022,0.031383239,NOX in TONS,6.5,4.4,8.3,0.0,0.0,21,14.8,1032.3,0.00044212041145656343
Lake,LAKE-2,NOXTONS,TONS,1/11/2022,0.017820261,NOX in TONS,6.3,1.7,12.8,0.0,0.0,11,6.5,1027.5,0.0003752834606663575
Lake,LAKE-2,NOXTONS,TONS,1/12/2022,0.013730863,NOX in TONS,6.3,-1.6,17.2,0.0,0.0,28,4.7,1025.4,0.0002887295027020516
Lake,LAKE-2,NOXTONS,TONS,1/26/2022,0.03246185,NOX in TONS,9.2,1.1,14.4,0.0,0.0,189,10.1,1016.4,0.00043169700323834
Lake,LAKE-2,NOXTONS,TONS,2/2/2022,0.031907931,NOX in TONS,13.0,-1.6,14.4,7.4,30.0,197,17.3,1005.0,0.00041937869390823684
Lake,LAKE-2,NOXTONS,TONS,2/3/2022,0.085812473,NOX in TONS,-1.7,-6.6,0.6,2.8,50.0,16,12.2,1021.5,0.001249019833515048
Lake,LAKE-2,NOXTONS,TONS,2/4/2022,0.075751419,NOX in TONS,-3.1,-7.7,3.9,0.0,0.0,17,4.3,1034.3,0.0011214935912745266
Lake,LAKE-2,NOXTONS,TONS,2/5/2022,0.026828399,NOX in TONS,0.0,-5.5,8.3,0.0,0.0,8,5.0,1026.9,0.00039971876356250307
Lake,LAKE-2,NOXTONS,TONS,2/6/2022,0.026268826,NOX in TONS,3.2,-4.3,13.9,0.0,0.0,37,11.5,1021.8,0.00041250206635947627
Lake,LAKE-2,NOXTONS,TONS,2/7/2022,0.004624758,NOX in TONS,6.1,-2.1,11.7,0.0,0.0,15,6.8,1028.4,0.0002181746348322666
Lake,LAKE-2,NOXTONS,TONS,2/23/2022,0.069539195,NOX in TONS,11.9,3.9,20.0,0.0,0.0,159,21.6,1009.5,0.0009476251653502581
Lake,LAKE-2,NOXTONS,TONS,2/24/2022,0.000740981,NOX in TONS,11.2,0.6,14.4,0.0,0.0,321,18.0,1014.1,3.0313376016643023e-05
Lake,LAKE-2,NOXTONS,TONS,3/2/2022,0.022764186,NOX in TONS,14.8,5.0,26.1,0.0,0.0,17,7.9,1016.1,0.00038678802257052715
Lake,LAKE-2,NOXTONS,TONS,3/3/2022,0.000162491,NOX in TONS,16.0,6.7,25.0,0.0,0.0,24,7.6,1014.5,0.021353132967213046
Lake,LAKE-2,NOXTONS,TONS,3/22/2022,0.049576063,NOX in TONS,8.7,5.6,11.7,0.0,0.0,54,13.0,1014.8,0.0030557340917280627
Lake,LAKE-2,NOXTONS,TONS,3/23/2022,7.78317e-05,NOX in TONS,8.6,4.4,16.1,0.0,0.0,351,12.6,1019.2,0.009628054471603552
Lake,LAKE-2,NOXTONS,TONS,3/25/2022,0.035746506,NOX in TONS,16.2,4.4,27.8,0.0,0.0,22,5.8,1015.5,0.0005666375022465211
Lake,LAKE-2,NOXTONS,TONS,3/26/2022,0.069250092,NOX in TONS,17.9,5.6,30.6,0.0,0.0,41,7.6,1012.8,0.00108695152357722
Lake,LAKE-2,NOXTONS,TONS,3/27/2022,0.053895428,NOX in TONS,19.8,6.7,31.1,0.0,0.0,315,7.6,1008.9,0.0008137304675100297
Lake,LAKE-2,NOXTONS,TONS,3/28/2022,0.082303061,NOX in TONS,22.3,13.9,29.4,0.0,0.0,243,16.2,1007.8,0.0011045828386634798
Lake,LAKE-2,NOXTONS,TONS,3/29/2022,0.006817699,NOX in TONS,20.7,8.9,22.8,0.0,0.0,257,35.6,1002.5,0.00024505892593831266
Lake,LAKE-2,NOXTONS,TONS,3/30/2022,0.017598333,NOX in TONS,12.6,7.8,21.1,0.0,0.0,265,33.8,1006.6,0.0003806002327803694
Lake,LAKE-2,NOXTONS,TONS,3/31/2022,0.020331721,NOX in TONS,16.3,7.8,23.3,0.0,0.0,221,10.4,1007.2,0.00035857009468088797
Lake,LAKE-2,NOXTONS,TONS,4/9/2022,0.039846732,NOX in TONS,18.6,3.9,31.1,0.0,0.0,245,17.3,1009.5,0.0005059073227597797
Lake,LAKE-2,NOXTONS,TONS,4/10/2022,0.044856693,NOX in TONS,24.2,18.9,28.9,0.0,0.0,248,36.0,1002.0,0.000585790218973257
Lake,LAKE-2,NOXTONS,TONS,4/11/2022,0.035659067,NOX in TONS,22.6,16.1,29.4,0.0,0.0,236,30.6,1003.6,0.0005327534517751628
Lake,LAKE-2,NOXTONS,TONS,4/12/2022,0.000140455,NOX in TONS,22.5,16.1,27.2,0.0,0.0,237,38.5,1001.3,1.5590173242360614e-05
Lake,LAKE-2,NOXTONS,TONS,4/14/2022,0.024155687,NOX in TONS,16.4,3.9,26.7,0.0,0.0,177,9.7,1010.2,0.00038839418103153635
Lake,LAKE-2,NOXTONS,TONS,4/15/2022,0.037397268,NOX in TONS,19.9,10.6,30.6,0.0,0.0,261,13.7,1007.6,0.00047522921513084833
Lake,LAKE-2,NOXTONS,TONS,4/16/2022,0.037188801,NOX in TONS,23.3,12.2,29.4,0.0,0.0,229,16.6,1009.0,0.0005305688397700621
Lake,LAKE-2,NOXTONS,TONS,4/17/2022,0.022992294,NOX in TONS,24.4,16.1,31.7,0.0,0.0,9,14.0,1010.8,0.00041871748485275813
Lake,LAKE-2,NOXTONS,TONS,4/18/2022,0.045768391,NOX in TONS,21.4,7.2,33.9,0.0,0.0,87,13.7,1011.2,0.0006002266533947345
Lake,LAKE-2,NOXTONS,TONS,4/19/2022,0.080614804,NOX in TONS,24.7,15.6,32.8,0.0,0.0,315,18.4,1006.2,0.001267749353824075
Lake,LAKE-2,NOXTONS,TONS,4/20/2022,0.048387878,NOX in TONS,26.5,19.4,33.3,0.0,0.0,253,21.6,1005.2,0.0007447004068680962
Lake,LAKE-2,NOXTONS,TONS,4/21/2022,0.041578748,NOX in TONS,26.1,15.6,32.2,0.0,0.0,211,14.4,1008.4,0.000766576834467693
