Plant,Source,Parameter,Units,date,Value,Description,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,Emissions_Load
Lake,LAKE-1,SO2TONS,TONS,1/1/2022,0.000469548,SO2 in TONS,9.1,1.1,13.3,0.5,0.0,270,40.7,1008.6,1.817081336365145e-05
Lake,LAKE-1,SO2TONS,TONS,1/2/2022,0.002493238,SO2 in TONS,2.2,-4.3,6.7,0.0,0.0,9,7.9,1027.8,4.634080622752329e-05
Lake,LAKE-1,SO2TONS,TONS,1/3/2022,0.001957418,SO2 in TONS,1.3,-4.9,10.0,0.0,0.0,22,6.8,1025.6,5.5666901226527974e-05
Lake,LAKE-1,SO2TONS,TONS,1/4/2022,0.000253068,SO2 in TONS,4.7,-3.8,16.7,0.0,0.0,294,16.6,1019.1,1.009523524957602e-05
Lake,LAKE-1,SO2TONS,TONS,1/5/2022,0.000987506,SO2 in TONS,9.7,-1.6,17.2,0.0,0.0,315,7.9,1014.3,1.5826532188628246e-05
Lake,LAKE-1,SO2TONS,TONS,1/15/2022,1.017e-06,SO2 in TONS,9.9,1.7,11.1,0.0,0.0,81,8.6,1024.9,9.627645736451992e-06
Lake,LAKE-1,SO2TONS,TONS,1/17/2022,0.001119104,SO2 in TONS,6.2,-2.7,18.3,0.0,0.0,310,9.4,1017.2,1.8538404562484405e-05
Lake,LAKE-1,SO2TONS,TONS,1/18/2022,0.001146602,SO2 in TONS,13.6,6.7,19.4,0.3,0.0,272,15.8,1012.4,1.829653402671236e-05
Lake,LAKE-1,SO2TONS,TONS,1/19/2022,0.003293445,SO2 in TONS,11.8,6.1,16.7,0.0,0.0,251,13.3,1014.5,4.928102245095452e-05
Lake,LAKE-1,SO2TONS,TONS,1/20/2022,0.001210807,SO2 in TONS,6.8,-1.0,9.4,0.0,0.0,76,9.7,1023.1,2.1958069375731016e-05
Lake,LAKE-1,SO2TONS,TONS,1/24/2022,0.001454625,SO2 in TONS,6.1,-1.0,15.6,0.0,0.0,357,7.6,1012.5,2.161409380616355e-05
Lake,LAKE-1,SO2TONS,TONS,1/25/2022,0.002798881,SO2 in TONS,10.0,2.8,17.8,0.0,0.0,208,13.7,1011.7,4.2896385728937104e-05
Lake,LAKE-1,SO2TONS,TONS,1/26/2022,0.001180403,SO2 in TONS,9.2,1.1,14.4,0.0,0.0,189,10.1,1016.4,1.8616525275397115e-05
